tier,node_name,parent,PSI_attribute,year,week_no,lot_id
0,supply_point,root,0,2025,1,
0,supply_point,root,0,2025,2,
0,supply_point,root,0,2025,3,
0,supply_point,root,0,2025,4,
0,supply_point,root,0,2025,5,
0,supply_point,root,0,2025,6,
0,supply_point,root,0,2025,7,
0,supply_point,root,0,2025,8,
0,supply_point,root,0,2025,9,
0,supply_point,root,0,2025,10,
0,supply_point,root,0,2025,11,
0,supply_point,root,0,2025,12,
0,supply_point,root,0,2025,13,
0,supply_point,root,0,2025,14,
0,supply_point,root,0,2025,15,
0,supply_point,root,0,2025,16,
0,supply_point,root,0,2025,17,
0,supply_point,root,0,2025,18,
0,supply_point,root,0,2025,19,
0,supply_point,root,0,2025,20,
0,supply_point,root,0,2025,21,
0,supply_point,root,0,2025,22,
0,supply_point,root,0,2025,23,
0,supply_point,root,0,2025,24,
0,supply_point,root,0,2025,25,
0,supply_point,root,0,2025,26,
0,supply_point,root,0,2025,27,SHA_N202601001
0,supply_point,root,0,2025,27,SHA_D202601001
0,supply_point,root,0,2025,27,SHA_I202602001
0,supply_point,root,0,2025,27,SHA_I202601001
0,supply_point,root,0,2025,27,SHA_N202602001
0,supply_point,root,0,2025,27,SHA_D202602001
0,supply_point,root,0,2025,28,SHA_N202603001
0,supply_point,root,0,2025,28,SHA_D202603001
0,supply_point,root,0,2025,28,SHA_I202603001
0,supply_point,root,0,2025,28,SHA_N202604001
0,supply_point,root,0,2025,28,SHA_D202604001
0,supply_point,root,0,2025,28,SHA_I202604001
0,supply_point,root,0,2025,29,SHA_N202605001
0,supply_point,root,0,2025,29,SHA_D202605001
0,supply_point,root,0,2025,29,SHA_I202605001
0,supply_point,root,0,2025,29,SHA_N202606001
0,supply_point,root,0,2025,29,SHA_N202606002
0,supply_point,root,0,2025,29,SHA_D202606001
0,supply_point,root,0,2025,30,SHA_D202606002
0,supply_point,root,0,2025,30,SHA_I202606001
0,supply_point,root,0,2025,30,SHA_I202606002
0,supply_point,root,0,2025,30,SHA_N202607001
0,supply_point,root,0,2025,30,SHA_N202607002
0,supply_point,root,0,2025,30,SHA_D202607001
0,supply_point,root,0,2025,31,SHA_D202607002
0,supply_point,root,0,2025,31,SHA_I202607001
0,supply_point,root,0,2025,31,SHA_I202607002
0,supply_point,root,0,2025,31,SHA_N202608001
0,supply_point,root,0,2025,31,SHA_N202608002
0,supply_point,root,0,2025,31,SHA_D202608001
0,supply_point,root,0,2025,32,SHA_D202608002
0,supply_point,root,0,2025,32,SHA_I202608001
0,supply_point,root,0,2025,32,SHA_I202608002
0,supply_point,root,0,2025,32,SHA_N202609001
0,supply_point,root,0,2025,32,SHA_N202609002
0,supply_point,root,0,2025,32,SHA_D202609001
0,supply_point,root,0,2025,33,SHA_D202609002
0,supply_point,root,0,2025,33,SHA_I202609001
0,supply_point,root,0,2025,33,SHA_I202609002
0,supply_point,root,0,2025,33,SHA_N202610001
0,supply_point,root,0,2025,33,SHA_N202610002
0,supply_point,root,0,2025,33,SHA_D202610001
0,supply_point,root,0,2025,34,SHA_D202610002
0,supply_point,root,0,2025,34,SHA_I202610001
0,supply_point,root,0,2025,34,SHA_I202610002
0,supply_point,root,0,2025,34,SHA_N202612001
0,supply_point,root,0,2025,34,SHA_N202612002
0,supply_point,root,0,2025,34,SHA_D202612001
0,supply_point,root,0,2025,35,SHA_D202612002
0,supply_point,root,0,2025,35,SHA_N202611001
0,supply_point,root,0,2025,35,SHA_N202611002
0,supply_point,root,0,2025,35,SHA_D202611001
0,supply_point,root,0,2025,35,SHA_D202611002
0,supply_point,root,0,2025,35,SHA_I202612001
0,supply_point,root,0,2025,36,SHA_I202612002
0,supply_point,root,0,2025,36,SHA_I202611001
0,supply_point,root,0,2025,36,SHA_I202611002
0,supply_point,root,0,2025,36,SHA_N202613001
0,supply_point,root,0,2025,36,SHA_N202613002
0,supply_point,root,0,2025,36,SHA_D202613001
0,supply_point,root,0,2025,37,SHA_D202613002
